"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Australia;South Australia;Callington;;139.0166667;-35.1166667;6;
2;Australia;South Australia;Caloote;;139.2666667;-34.9666667;6;
2;Australia;South Australia;Calpatanna;;134.3666667;-33.0166667;6;
2;Australia;South Australia;Caltowie;;138.4833333;-33.1833333;6;
2;Australia;South Australia;Cambelltown;;138.6666667;-34.8833333;6;
2;Australia;South Australia;Cambrai;;139.2833333;-34.65;6;
2;Australia;South Australia;Campbell Park;;139.1833333;-35.6333333;6;
2;Australia;South Australia;Campbelltown;;138.6666667;-34.8833333;6;
2;Australia;South Australia;Cannawigara;;140.6666667;-36.25;6;
2;Australia;South Australia;Canowie Belt;;138.75;-33.1833333;6;
2;Australia;South Australia;Canowie;;138.75;-33.4;6;
2;Australia;South Australia;Caralue;;136.2;-33.3666667;6;
2;Australia;South Australia;Carawa;;134.2;-32.3833333;6;
2;Australia;South Australia;Carey Gully;;138.7666667;-34.9666667;6;
2;Australia;South Australia;Carey's Gully;;138.7666667;-34.9666667;6;
2;Australia;South Australia;Caroline;;140.9333333;-37.9;6;
2;Australia;South Australia;Carpa;;136.6833333;-33.75;6;
2;Australia;South Australia;Carrieton;;138.5333333;-32.4333333;6;
2;Australia;South Australia;Carripook;;138.75;-35.0166667;6;
2;Australia;South Australia;Carrow;;136.3333333;-34.1;6;
2;Australia;South Australia;Caurnamont;;139.5833333;-34.85;6;
2;Australia;South Australia;Ceduna;;133.6666667;-32.1166667;6;
2;Australia;South Australia;Chain of Ponds;;138.8333333;-34.8166667;6;
2;Australia;South Australia;Chandada;;134.6833333;-32.75;6;
2;Australia;South Australia;Chapman Bore;;139.55;-35.1333333;6;
2;Australia;South Australia;Charleston;;138.9;-34.9166667;6;
2;Australia;South Australia;Charra;;133.3333333;-32.0833333;6;
2;Australia;South Australia;Cheltenham;;138.5166667;-34.8666667;6;
2;Australia;South Australia;Cherry Gardens;;138.65;-35.0666667;6;
2;Australia;South Australia;Cherryville;;138.7666667;-34.9166667;6;
2;Australia;South Australia;Chinbingina;;134.2;-32.2166667;6;
2;Australia;South Australia;Chinta;;133.8;-31.9833333;6;
2;Australia;South Australia;Clapham;;138.6;-34.9913889;6;
2;Australia;South Australia;Clare;;138.6;-33.8333333;6;
2;Australia;South Australia;Clarendon;;138.6333333;-35.1166667;6;
2;Australia;South Australia;Claypans;;139.6666667;-34.8166667;6;
2;Australia;South Australia;Clements Gap;;138.0666667;-33.5166667;6;
2;Australia;South Australia;Cleve;;136.5;-33.7;6;
2;Australia;South Australia;Clinton Centre;;137.9166667;-34.2333333;6;
2;Australia;South Australia;Cobdog;;140.4;-34.25;6;
2;Australia;South Australia;Cockatoo Valley;;138.8333333;-34.6166667;6;
2;Australia;South Australia;Cockburn;;141;-32.0833333;6;
2;Australia;South Australia;Collinsville;;139.15;-33.3333333;6;
2;Australia;South Australia;Colton;;134.9333333;-33.4833333;6;
2;Australia;South Australia;Comaum;;140.95;-37.2666667;6;
2;Australia;South Australia;Compton;;140.6833333;-37.7666667;6;
2;Australia;South Australia;Concordia;;138.8;-34.5833333;6;
2;Australia;South Australia;Condada;;135.0666667;-32.8;6;
2;Australia;South Australia;Condowie;;138.3;-33.7666667;6;
2;Australia;South Australia;Conmurra;;140.2833333;-37.15;6;
2;Australia;South Australia;Coober Pedy;;134.7166667;-29.0166667;6;
2;Australia;South Australia;Coobowie;;137.7166667;-35.05;6;
2;Australia;South Australia;Cook;;130.4166667;-30.6166667;6;
2;Australia;South Australia;Cooke Plains;;139.55;-35.3833333;6;
2;Australia;South Australia;Cookes Plains;;139.55;-35.3833333;6;
2;Australia;South Australia;Coolcha;;139.5833333;-34.9166667;6;
2;Australia;South Australia;Coomandook;;139.7;-35.4833333;6;
2;Australia;South Australia;Coomunga;;135.7166667;-34.65;6;
2;Australia;South Australia;Coonalpyn;;139.85;-35.7;6;
2;Australia;South Australia;Coonawarra;;140.8166667;-37.3;6;
2;Australia;South Australia;Coontapoo;;135.7;-34.6333333;6;
2;Australia;South Australia;Coorabie;;132.3;-31.9;6;
2;Australia;South Australia;Coorara;;138.5166667;-35.1166667;6;
2;Australia;South Australia;Cootra;;135.8666667;-33.25;6;
2;Australia;South Australia;Copeville;;139.8333333;-34.8166667;6;
2;Australia;South Australia;Copley;;138.4333333;-30.5333333;6;
2;Australia;South Australia;Copperhouse;;138.9;-33.6666667;6;
2;Australia;South Australia;Corny Point;;137.05;-34.9166667;6;
2;Australia;South Australia;Coromandel Valley;;138.6166667;-35.05;6;
2;Australia;South Australia;Cortlinye;;136.3333333;-33.0166667;6;
2;Australia;South Australia;Coulta;;135.4666667;-34.3833333;6;
2;Australia;South Australia;Courela;;134.4333333;-32.5333333;6;
2;Australia;South Australia;Cowell;;136.9166667;-33.6833333;6;
2;Australia;South Australia;Cowirra;;139.3333333;-34.9;6;
2;Australia;South Australia;Cradock;;138.5;-32.0833333;6;
2;Australia;South Australia;Crafers;;138.7;-35;6;
2;Australia;South Australia;Craneford;;139.0666667;-34.6333333;6;
2;Australia;South Australia;Cromer;;139;-34.7666667;6;
2;Australia;South Australia;Crystal Brook;;138.2;-33.3666667;6;
2;Australia;South Australia;Cudlee Creek;;138.8333333;-34.85;6;
2;Australia;South Australia;Culburra;;139.9666667;-35.8166667;6;
2;Australia;South Australia;Cummins;;135.7333333;-34.2666667;6;
2;Australia;South Australia;Cungena;;134.7166667;-32.5833333;6;
2;Australia;South Australia;Cunliffe;;137.7333333;-34.0833333;6;
2;Australia;South Australia;Curramulka;;137.7;-34.7;6;
2;Australia;South Australia;Currency Creek;;138.7666667;-35.45;6;
2;Australia;South Australia;Custon;;140.9166667;-36.45;6;
2;Australia;South Australia;Cygnet River;;137.5166667;-35.7;6;
2;Australia;South Australia;Dalkey;;138.45;-34.1833333;6;
2;Australia;South Australia;Darke Peak;;136.2;-33.4666667;6;
